id,  ref epoch [mjd2000],    a [m],                  e,                      i [rad],                W [rad],                w [rad],                M[rad]
000, 2.1947649637665050E+04, 7.1657396824464779E+06, 1.4872294030037296E-03, 1.7084949743764815E+00, 5.4251494477699103E+00, 5.1896466191474777E-01, 3.2208883569328890E+00
001, 2.2167216339714400E+04, 7.1194824568500286E+06, 1.6818826066925901E-02, 1.7190324556571761E+00, 4.0302319446772756E+00, 2.2497345785659948E+00, 4.8807277888575742E+00
002, 2.1971814991607400E+04, 7.1596212552715428E+06, 3.7928260515825026E-03, 1.6950996273137624E+00, 2.9287068301393302E+00, 4.4933242266297109E+00, 6.2437606565086217E+00
003, 2.2169543272808445E+04, 7.1105112426873706E+06, 6.6662989696863410E-03, 1.6942903799536431E+00, 6.2336478358175662E-01, 3.4119092650909670E+00, 4.7714199815539757E+00
004, 2.2052222441592254E+04, 7.1020000939046489E+06, 1.8296158479309513E-03, 1.7498728280660838E+00, 2.6225638296225968E+00, 2.3970723874904802E+00, 3.1329207586641292E+00
005, 2.1974981005491496E+04, 7.1734650347685460E+06, 8.5007296809300539E-03, 1.7250021365460082E+00, 4.7168822657255580E+00, 2.9873237970074014E+00, 5.4944812707940045E+00
006, 2.2148092594213187E+04, 7.0580417103809919E+06, 8.7234352836937229E-03, 1.7206738530599246E+00, 3.5746425158521933E+00, 4.9814352991997808E+00, 4.1956188833732098E+00
007, 2.2142824876524191E+04, 7.0596020528455991E+06, 2.4932447158364495E-03, 1.7069135576765333E+00, 1.4559862537354920E+00, 4.3020929502250089E+00, 5.3481532423694276E+00
008, 2.2128717858909135E+04, 7.1343239397846498E+06, 1.6271597009714870E-02, 1.7445269197014779E+00, 1.3297786145266177E-01, 5.8382098923205268E+00, 5.5621781601339935E+00
009, 2.2037559358191760E+04, 7.1472079797105445E+06, 8.0077227049872458E-03, 1.7054359870027067E+00, 3.3787314329735190E+00, 1.2760194010266370E+00, 5.2234270395895157E+00
010, 2.2187763624733412E+04, 7.1622151761647547E+06, 2.4022908192228684E-03, 1.7179524541970677E+00, 2.6044168759567419E+00, 1.8942795035536908E+00, 4.3848444989363751E+00
011, 2.2091992995606113E+04, 7.2325076497609392E+06, 1.1773575210463410E-03, 1.7066308859386896E+00, 3.0516552852502272E+00, 1.7076541122844591E+00, 3.3574832859913597E+00
012, 2.1928718422188100E+04, 7.1586430111981770E+06, 1.0040189006720379E-02, 1.7320255324625642E+00, 7.2170125435764443E-01, 2.9454391014605554E+00, 3.2835498420677034E+00
013, 2.2178426502743732E+04, 7.2364943577317204E+06, 3.3123508976602113E-03, 1.7137497162075539E+00, 1.8043660156735728E+00, 4.1480720014348309E+00, 2.2581703181417367E+00
014, 2.2134431225703171E+04, 7.1834394254642036E+06, 5.8116054059847893E-03, 1.6983761271184348E+00, 1.3049702380875483E+00, 4.9906874011610523E+00, 3.5562531992810604E+00
015, 2.2057921381551841E+04, 7.1828607044945257E+06, 7.2677718502275265E-03, 1.7253514550779128E+00, 1.2035298909060050E+00, 5.5176308702359096E+00, 4.0513937316575852E+00
016, 2.2029071784023829E+04, 7.0894689928508550E+06, 8.9326688889894128E-03, 1.7152239407832581E+00, 1.2304416110682046E+00, 2.9125176149255796E+00, 1.4008509098039548E+00
017, 2.1976563697352434E+04, 7.1720225944849178E+06, 7.5893483630202667E-03, 1.7123965415036928E+00, 4.1231617147467006E+00, 2.7235734264056872E+00, 1.1697634274344053E+00
018, 2.1975694539661748E+04, 7.1160540084790485E+06, 8.9459158777377718E-03, 1.7201869268629908E+00, 1.8279761920424498E+00, 9.1080302919982903E-01, 3.2999093640193995E+00
019, 2.1931586760054113E+04, 7.1303163416429311E+06, 1.1013165668174162E-02, 1.7213767664138027E+00, 2.4191384654330679E+00, 2.1026039581904379E+00, 1.0309483985080592E+00
020, 2.1956811664258676E+04, 7.0123578015429014E+06, 3.7306380068279953E-03, 1.7145647888784965E+00, 4.7679056701808413E+00, 2.2242109725930712E+00, 1.4407588641131199E+00
021, 2.2075496256256381E+04, 7.0595214196055979E+06, 5.3035724008734580E-03, 1.7212739396318075E+00, 3.2737188088473581E+00, 3.3286802852617283E+00, 3.5355657675244623E+00
022, 2.2069343848537206E+04, 7.0625550915621240E+06, 4.3442870408157983E-03, 1.7274807156156051E+00, 5.7747057927675343E+00, 5.5322087355228531E+00, 5.9103830148672429E+00
023, 2.1948744829845527E+04, 7.1573978226773487E+06, 1.5212151785574607E-02, 1.7216539017764789E+00, 5.6363586292055992E+00, 2.6108330779745432E+00, 2.8271977566834545E+00
024, 2.2029251106989806E+04, 7.1555331719438899E+06, 1.3321444405024063E-02, 1.7174360733542935E+00, 4.0525068916629250E+00, 7.2403243072993662E-01, 5.5759592098961139E+00
025, 2.2130244426204234E+04, 7.1464835814257395E+06, 8.8690120247721140E-03, 1.7159961448710592E+00, 3.1149672619883688E+00, 4.9101235612376826E+00, 1.9099320863932947E+00
026, 2.2061290194591929E+04, 7.1039263464457355E+06, 5.8569091102657986E-03, 1.6951486894980508E+00, 3.4127281819364517E+00, 3.5456193218613050E+00, 5.6164298976873681E-02
027, 2.2031785631728311E+04, 7.1790690163070457E+06, 1.2466361831497469E-02, 1.7272417777180353E+00, 6.0033713676831582E+00, 4.2489596845890985E+00, 3.1308889128759659E-01
028, 2.2106503602448225E+04, 7.1548926144156400E+06, 8.5901282030945436E-03, 1.7120961575913876E+00, 2.4572206030974217E+00, 4.3217101229759586E-01, 4.3437959455053639E+00
029, 2.1979331806257043E+04, 7.2122805333583979E+06, 5.3956273119150225E-03, 1.7242717175613382E+00, 5.0395440741529400E+00, 5.1225128189834539E+00, 1.2919866064654601E-02
030, 2.2171949104583124E+04, 7.0431049324577386E+06, 6.4494782640898366E-03, 1.7131987270766398E+00, 7.8965530147945362E-01, 5.5593420114028174E+00, 1.5533958461281466E-01
031, 2.2100945181434621E+04, 7.0511735148911076E+06, 6.4404280075398591E-03, 1.7420043786805250E+00, 5.4463005936920865E+00, 8.3721710495148161E-01, 2.3101662836450814E+00
